Wine,Type,Variety,Cost,Review,Rating,Overall,Taste,Store
2010 Castell del Remei Sicoris Costers del Segre,Red,Blend,$12.99,Sicoris Costers del Segre 2010 - Five Of My Favorite Things (http://www.reversewinesnob.com/2014/01/sicoris-costers-del-segre.html),Bulk Buy,8.3,9,Other
2010 De Martino Legado Reserva Cabernet Sauvignon Malbec,Red,Blend,$13.99,De Martino Legado Reserva Cabernet Sauvignon Malbec 2010 - An Alluring Blend (http://www.reversewinesnob.com/2013/04/de-martino-legado-reserva-cabernet-malbec.html),Bulk Buy,8.3,9,Other
2010 Gundlach Bundschu Mountain Cuvée,Red,Blend,$13.99,Gundlach Bundschu Mountain Cuvée 2010 - Guaranteed To Put A Smile on Your Face (http://www.reversewinesnob.com/2013/10/gundlach-bundschu-mountain-cuvee.html),Bulk Buy,8.3,9,Other
2010 Joel Gott 815 Cabernet Sauvignon,Red,Cabernet Sauvignon,$12.99,Joel Gott 815 Cabernet Sauvignon 2010 - Cola Lover's Delight (http://www.reversewinesnob.com/2013/08/joel-gott-815-cabernet-sauvignon.html),Bulk Buy,8.3,9,Other
2010 Kirkland Signature Rutherford Napa Valley Meritage,Red,Blend,$13.99,Kirkland Signature Rutherford Napa Valley Meritage 2010 - An Annual Bulk Buy (http://www.reversewinesnob.com/2012/06/kirkland-signature-rutherford-napa.html),Bulk Buy,8.3,9,Costco
2010 La Massa Toscana,Red, Blend,$12.99,La Massa Toscana 2010 - Costco Week Wine #4 (http://www.reversewinesnob.com/2013/02/la-massa-toscana-2010-costco.html),Bulk Buy,8.3,9,Costco
2010 La Mozza I Perazzi Morellino di Scansano,Red,Sangiovese,$13.99,La Mozza I Perazzi Morellino di Scansano 2010 - I Love It (http://www.reversewinesnob.com/2012/10/a-mozza-i-perazzi-morellino-di-scansano.html),Bulk Buy,8.3,9,Other
2010 Michael David Winery 6th Sense Syrah,Red,Syrah,$12.99,Michael David Winery 6th Sense Syrah 2010 - Explosively Good (http://www.reversewinesnob.com/2013/09/michael-david-winery-6th-sense-syrah.html),Bulk Buy,8.3,9,Other
2010 Michael David Winery Incognito White,White,Blend,$13.99,My New Favorite White Wine (http://www.reversewinesnob.com/2011/08/2010-michael-david-winery-incognito.html),Bulk Buy,8.3,9,Other
2010 Quinta de la Rosa douRosa Douro Red Wine,Red,Blend,$13.99,douRosa Douro Red Wine 2010 - The Douro Delivers Again (http://www.reversewinesnob.com/2013/06/dourosa-douro-red-wine.html),Bulk Buy,8.3,9,Other
2010 Trimbach Riesling,White,Riesling,$13.99,Trimbach Riesling 2010 - A Beautiful Dry Riesling (http://www.reversewinesnob.com/2013/08/trimbach-riesling.html),Bulk Buy,8.3,9,Other
2010 Vigilance Cimarron Lake County Red Wine,Red,Blend,$13.99,Vigilance Cimarron Lake County Red Wine 2010 - One Finely Crafted Cuvée (Bulk Buy) (http://www.reversewinesnob.com/2012/08/vigilance-cimarron-lake-county-red-wine.html),Bulk Buy,8.3,9,Other
2011 Concha y Toro Serie Riberas Gran Reserva Ribera del Cachapoal Carmenere,Red,Carmenere,$12.99,Concha y Toro Gran Reserva Serie Riberas Carmenere 2011 - Mix It Up! (http://www.reversewinesnob.com/2013/12/concha-y-toro-gran-reserva-serie-riberas-carmenere.html),Bulk Buy,8.3,9,Other
2011 Concha y Toro Serie Riberas Gran Reserva Ribera del Tinguiririca Malbec,Red,Malbec,$12.99,"Concha y Toro Gran Reserva Serie Riberas Malbec 2011 - Smooth, Complex and Delicious (http://www.reversewinesnob.com/2013/08/concha-y-toro-gran-reserva-malbec.html)",Bulk Buy,8.3,9,Other
2011 Domingo Molina Hermanos Malbec-Tannat,Red,Blend,$12.99,"Hermanos Malbec Tannat 2011 - Malbec With A Deep, Dark And Delicious Twist (http://www.reversewinesnob.com/2013/05/hermanos-malbec-tannat.html)",Bulk Buy,8.3,9,Other
2011 Don & Sons Sonoma Signature Pinot Noir,Red,Pinot Noir,$13.99,Don & Sons Sonoma Signature Pinot Noir 2008 to 2011 Vertical Tasting - Consistently Delicious (http://www.reversewinesnob.com/2013/07/don-sons-sonoma-signature-pinot-noir.html),Bulk Buy,8.3,9,Other
2011 Esporao Quinta Dos Murcas Assobio Douro,Red,Blend,$12.99,Esporao Assobio Douro 2011 - More Beautiful Than Ever (http://www.reversewinesnob.com/2014/07/esporao-assobio-douro.html),Bulk Buy,8.3,9,Other
2011 Kirkland Signature Rutherford Napa Valley Meritage,Red,Meritage,$13.99,Kirkland Signature Rutherford Napa Valley Meritage 2011 - Make Mine A Meritage Wine #8 (http://www.reversewinesnob.com/2013/04/kirkland-signature-rutherford-napa-valley-meritage.html),Bulk Buy,8.3,9,Costco
2011 Murphy-Goode Liars Dice Zinfandel,Red,Zinfandel,$13.99,"Murphy-Goode Liars Dice Zinfandel 2011 - Yowza, This Is a Bold, Flavorful Wine! (http://www.reversewinesnob.com/2014/09/murphy-goode-liars-dice-zinfandel.html)",Bulk Buy,8.3,9,Other
 2011 Nuraghe Crabioni Vermentino di Sardegna,White,Vermentino,$13.99,Excellent Italian Whites - Exploring the White Wines of Italy Including Two Bulk Buy Selections! (http://www.reversewinesnob.com/2013/05/excellent-italian-whites.html),Bulk Buy,8.3,9,Other
2011 Stadlmann Gruner Veltliner,White,Gruner Veltliner,$13.99,Gruner Love Featuring the Stadlmann Gruner Veltliner 2011 (http://www.reversewinesnob.com/2013/05/gruner-love-featuring-stadlmann-gruner-veltliner.html),Bulk Buy,8.3,9,Other
2011 Trader Joe's Grand Reserve Lot 27 Napa Valley Meritage,Red,Meritage,$12.99,Trader Joe's Grand Reserve Napa Valley Meritage 2011 - Trader Joe's Top Picks Wine #13 (http://www.reversewinesnob.com/2014/05/trader-joes-grand-reserve-napa-valley-meritage.html),Bulk Buy,8.3,9,Trader Joe's
2012 Columbia Crest Horse Heaven Hills H3 Cabernet Sauvignon,Red,Cabernet Sauvignon,$13.99,"Columbia Crest Horse Heaven Hills H3 Cabernet Sauvignon 2012 - Juicy, Dusty and Darn Good (http://www.reversewinesnob.com/2014/12/columbia-crest-horse-heaven-hills-h3-cabernet-sauvignon.html)",Bulk Buy,8.3,9,Costco
2012 Dona Paula Estate Black Edition Red Blend,Red,Blend,$12.99,Dona Paula Estate Black Edition Red Blend 2012 - Much More Than Malbec (http://www.reversewinesnob.com/2014/04/dona-paula-estate-black-edition-red-blend.html),Bulk Buy,8.3,9,Other
2012 Dr. Pauly-Bergweiler Dry Riesling,White,Riesling,$12.99,Dr. Pauly-Bergweiler Dry Riesling 2012 - Just What The Doctor Ordered (http://www.reversewinesnob.com/2014/12/dr-pauly-bergweiler-dry-riesling.html),Bulk Buy,8.3,9,Other
2012 Edmeades Mendocino County Zinfandel,Red,Zinfandel,$12.79,Edmeades Mendocino County Zinfandel 2012 - Bring On The BBQ Sauce! (http://www.reversewinesnob.com/2014/08/edmeades-mendocino-county-zinfandel.html),Bulk Buy,8.3,9,Costco
2012 Wysling Band of Sisters,White,Blend,$13.99,Wysling Band of Sisters 2012 - A Beautiful Rhone Blend (http://www.reversewinesnob.com/2014/02/wysling-band-of-sisters.html),Bulk Buy,8.3,9,Other
2013 Chateau de Trinquevedel Tavel Rosé,Rosé,Blend,$13.99,Chateau de Trinquevedel Tavel Rosé 2013 - A Serious Rosé From A Place Serious About Rosé (http://www.reversewinesnob.com/2014/11/chateau-de-trinquevedel-tavel-rose.html),Bulk Buy,8.3,9,Other
2013 La Reina Torrontes,White,Torrontes,$12.99,La Reina Torrontes 2013 - Summertime Sipping At Its Best (http://www.reversewinesnob.com/2014/04/la-reina-torrontes.html),Bulk Buy,8.3,9,Club W
2013 The Independent Wilson Vineyard Chenin Blanc,White,Chenin Blanc,$12.99,The Independent Chenin Blanc 2013 - Clean And Classy (http://www.reversewinesnob.com/2014/07/the-independent-chenin-blanc.html),Bulk Buy,8.3,9,Club W
2009 Altovinum Calatayud Evodia,Red,Garnacha,$6.99,Simply Sublime at $6.99 (http://goo.gl/wfnoM),Bulk Buy,8.3,8,Costco
2009 Bodegas San Valero Monte Ducay Reserva,Red,Blend,$6.99,Monte Ducay Reserva 2009 - Trader Joe's Strikes Again (http://www.reversewinesnob.com/2014/07/monte-ducay-reserva.html),Bulk Buy,8.3,8,Trader Joe's
2009 Kirkland Signature Malbec,Red,Malbec,$7.99,Get It While You Can (http://goo.gl/KqS52),Bulk Buy,8.3,8,Costco
2009 Tractor Shed Red,Red,Blend,$7.99,"A Rich, Smooth and Savory Bulk Buy! (http://www.reversewinesnob.com/2012/01/tractor-shed-red-2009-rich-smooth-and.html)",Bulk Buy,8.3,8,Costco
2010 Banfi Col Di Sasso Toscana,Red,Blend,$7.99,Banfi Col Di Sasso Toscana 2010 - $8 Italian Reds Wine #1 Plus FREE SHIPPING from Marketview Liquor (http://www.reversewinesnob.com/2013/03/banfi-col-di-sasso-toscana.html),Bulk Buy,8.3,8,Other
2010 Campo Viejo Rioja Tempranillo,Red,Tempranillo,$7.99,Campo Viejo Rioja Tempranillo 2010 - Just Drink It (Bulk Buy!) (http://www.reversewinesnob.com/2012/05/campo-viejo-rioja-tempranillo-2010-just.html),Bulk Buy,8.3,8,Other
2010 d'Arenberg The Stump Jump White McLaren Vale Adelaide Hills,White,Blend,$7.99,Spring Is In The Glass (Bulk Buy!) (http://www.reversewinesnob.com/2012/02/darenberg-stump-jump-white-2010-spring.html),Bulk Buy,8.3,8,Other
2010 Falesco Vitiano Rosso Umbria,Red,Blend,$7.99,Vitiano Rosso 2010 - $8 Italian Reds Wine #4 Plus Free Shipping From Marketview Liquor (http://www.reversewinesnob.com/2013/03/falesco-vitiano-rosso-umbria.html),Bulk Buy,8.3,8,Other
2010 Magnificent Wine Company House Red Wine,Red,Blend,$7.99,Magnificent Wine Company House Red Wine 2010 - Truth (http://www.reversewinesnob.com/2013/04/magnificent-wine-company-house-red-wine.html),Bulk Buy,8.3,8,Other
